nod,img_type,pval,metric
1,EPI_SWI,0.59298,aes
0,EPI_SWI,0.10881,aes
1,T1_MPR_,0.75776,aes
0,T1_MPR_,0.00138,aes
1,T2_FLAIR_,0.00608,aes
0,T2_FLAIR_,0.75776,aes
1,T2STAR_,0.00029,aes
0,T2STAR_,0.15922,aes
1,T1_TIRM_,0.00069,aes
0,T1_TIRM_,0.06193,aes
1,T2_TSE_,0.14854,aes
0,T2_TSE_,0.00014,aes
1,EPI_SWI,1.0,coent
0,EPI_SWI,0.10881,coent
1,T1_MPR_,0.04951,coent
0,T1_MPR_,0.07157,coent
1,T2_FLAIR_,0.03346,coent
0,T2_FLAIR_,0.52668,coent
1,T2STAR_,0.12621,coent
0,T2STAR_,0.43419,coent
1,T1_TIRM_,0.61481,coent
0,T1_TIRM_,0.88385,coent
1,T2_TSE_,0.00055,coent
0,T2_TSE_,0.01082,coent
